N	// directed
20	// edge (32 to 20)
21	// edge (32 to 21)
22	// edge (32 to 22)
23	// edge (32 to 23)
24	// edge (32 to 24)
25	// edge (32 to 25)
26	// edge (32 to 26)
27	// edge (32 to 27)
28	// edge (32 to 28)
33	// edge (32 to 33)
34	// edge (32 to 34)
35	// edge (32 to 35)
36	// edge (32 to 36)
37	// edge (32 to 37)
32	// edge count for vertex 33
1	// edge (33 to 1)
2	// edge (33 to 2)
3	// edge (33 to 3)
4	// edge (33 to 4)
5	// edge (33 to 5)
6	// edge (33 to 6)
7	// edge (33 to 7)
8	// edge (33 to 8)
9	// edge (33 to 9)
10	// edge (33 to 10)
11	// edge (33 to 11)
12	// edge (33 to 12)
13	// edge (33 to 13)
14	// edge (33 to 14)
15	// edge (33 to 15)
16	// edge (33 to 16)
17	// edge (33 to 17)
18	// edge (33 to 18)
19	// edge (33 to 19)
20	// edge (33 to 20)
21	// edge (33 to 21)
22	// edge (33 to 22)
23	// edge (33 to 23)
24	// edge (33 to 24)
25	// edge (33 to 25)
26	// edge (33 to 26)
27	// edge (33 to 27)
28	// edge (33 to 28)
29	// edge (33 to 29)
30	// edge (33 to 30)
31	// edge (33 to 31)
32	// edge (33 to 32)
32	// edge count for vertex 34
1	// edge (34 to 1)
2	// edge (34 to 2)
3	// edge (34 to 3)
4	// edge (34 to 4)
5	// edge (34 to 5)
6	// edge (34 to 6)
7	// edge (34 to 7)
8	// edge (34 to 8)
9	// edge (34 to 9)
10	// edge (34 to 10)
11	// edge (34 to 11)
12	// edge (34 to 12)
13	// edge (34 to 13)
14	// edge (34 to 14)
15	// edge (34 to 15)
16	// edge (34 to 16)
17	// edge (34 to 17)
18	// edge (34 to 18)
19	// edge (34 to 19)
20	// edge (34 to 20)
21	// edge (34 to 21)
22	// edge (34 to 22)
23	// edge (34 to 23)
24	// edge (34 to 24)
25	// edge (34 to 25)
26	// edge (34 to 26)
27	// edge (34 to 27)
28	// edge (34 to 28)
29	// edge (34 to 29)
30	// edge (34 to 30)
31	// edge (34 to 31)
32	// edge (34 to 32)
32	// edge count for vertex 35
1	// edge (35 to 1)
2	// edge (35 to 2)
3	// edge (35 to 3)
4	// edge (35 to 4)
5	// edge (35 to 5)
6	// edge (35 to 6)
7	// edge (35 to 7)
8	// edge (35 to 8)
9	// edge (35 to 9)
10	// edge (35 to 10)
11	// edge (35 to 11)
12	// edge (35 to 12)
13	// edge (35 to 13)
14	// edge (35 to 14)
15	// edge (35 to 15)
16	// edge (35 to 16)
17	// edge (35 to 17)
18	// edge (35 to 18)
19	// edge (35 to 19)
20	// edge (35 to 20)
21	// edge (35 to 21)
22	// edge (35 to 22)
23	// edge (35 to 23)
24	// edge (35 to 24)
25	// edge (35 to 25)
26	// edge (35 to 26)
27	// edge (35 to 27)
28	// edge (35 to 28)
29	// edge (35 to 29)
30	// edge (35 to 30)
31	// edge (35 to 31)
32	// edge (35 to 32)
32	// edge count for vertex 36
1	// edge (36 to 1)
2	// edge (36 to 2)
3	// edge (36 to 3)
4	// edge (36 to 4)
5	// edge (36 to 5)
6	// edge (36 to 6)
7	// edge (36 to 7)
8	// edge (36 to 8)
9	// edge (36 to 9)
10	// edge (36 to 10)
11	// edge (36 to 11)
12	// edge (36 to 12)
13	// edge (36 to 13)
14	// edge (36 to 14)
15	// edge (36 to 15)
16	// edge (36 to 16)
17	// edge (36 to 17)
18	// edge (36 to 18)
19	// edge (36 to 19)
20	// edge (36 to 20)
21	// edge (36 to 21)
22	// edge (36 to 22)
23	// edge (36 to 23)
24	// edge (36 to 24)
25	// edge (36 to 25)
26	// edge (36 to 26)
27	// edge (36 to 27)
28	// edge (36 to 28)
29	// edge (36 to 29)
30	// edge (36 to 30)
31	// edge (36 to 31)
32	// edge (36 to 32)
32	// edge count for vertex 37
1	// edge (37 to 1)
2	// edge (37 to 2)
3	// edge (37 to 3)
4	// edge (37 to 4)
5	// edge (37 to 5)
6	// edge (37 to 6)
7	// edge (37 to 7)
8	// edge (37 to 8)
9	// edge (37 to 9)
10	// edge (37 to 10)
11	// edge (37 to 11)
12	// edge (37 to 12)
13	// edge (37 to 13)
14	// edge (37 to 14)
15	// edge (37 to 15)
16	// edge (37 to 16)
17	// edge (37 to 17)
18	// edge (37 to 18)
19	// edge (37 to 19)
20	// edge (37 to 20)
21	// edge (37 to 21)
22	// edge (37 to 22)
23	// edge (37 to 23)
24	// edge (37 to 24)
25	// edge (37 to 25)
26	// edge (37 to 26)
27	// edge (37 to 27)
28	// edge (37 to 28)
29	// edge (37 to 29)
30	// edge (37 to 30)
31	// edge (37 to 31)
32	// edge (37 to 32)
